"X.1","food_item","Region","Energy_kcal","Carbohydrates..available_g","Protein_g","Fat_g","Fibre_g","Phytate_mg","Ca_mg","Cu_mg","Fe_mg","I_µg","Mg_mg","Se_µg","Zn_mg","FE2_3.x","FoodName_3","X","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","ID_3","FE2_3.y","Description1","Desc1.ref","Description2"
252,"Sweet Potatoes","M",112,24.1,1.8,0.3,3,10,45,0.2,1.9,2,16,2,0.4,"A010C#F28.A07HS$F10.A0F2R","sweet potato, white-flesh, raw",82,"RT","Roots and Tubers",2533,"Sweet potatoes and products","1530","sweet potatoes","1530.01","A010C#F28.A07HS$F10.A0F2R","Nutritional disaggregation","","vitamin A"
255,"Sweeteners, Other","M",368,100,0,0,0,0,0,0.2,0.1,0,0,0,0,"A032T#F03.A06JD","fructose, powder",109,"OT","Other foods",2543,"Sweeteners, Other and products","23210.01","fructose, chemically pure","23210.01.01","A032T#F03.A06JD","","",""
258,"Tea","M",0,0,0.1,0,0,0,2,0,0.1,0,1,0,0,"A03LB#F02.A068Y$F28.A07MK$F04.A03HQ","tea beverages",351,"OT","Other foods",2635,"Tea (including mate) and products","23914","extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or maté","23914.01","A03LB#F02.A068Y$F28.A07MK$F04.A03HQ","","",""
261,"Tomatoes","M",21,3.3,1,0.2,1.1,30,12,0.12,0.9,1,12,1,1.1,"A0DMX#F28.A07HS","tomatoes, raw",220,"FV","Fruits and Vegetables",2601,"Tomatoes and products","1234","tomatoes","1234.01","A0DMX#F28.A07HS","","",""
264,"Vegetables, Other","M",26,3.4,1.6,0.1,2.5,0,35,0.02,0.6,2,10,1,0.2,"A00FY#F28.A07HS","cabbages, head, raw",229,"FV","Fruits and Vegetables",2605,"Vegetables, Other and products","1212","cabbages","1212.03","A00FY#F28.A07HS","","",""
267,"Wheat","M",347,72.1,10.7,1.1,3.5,130,21,0.15,2,10,60,2,4,"A003Y#F02.A067Z$F27.A001M$F28.A0C0A$F10.A07XK$F03.A06JD","wheat flour, refined",4,"CE","Cereals",2511,"Wheat and products","23110","wheat and meslin flour ","23110.02","A003Y#F02.A067Z$F27.A001M$F28.A0C0A$F10.A07XK$F03.A06JD","Flour of Wheat: Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles.","FAOSTAT Commodity List (FCL)",""
270,"Wine","M",71.70172,1.4,0.2,0,0,19.7,8,0.4,0.4,0,10,0.2,0.07,"A03MY#F02.A0ENK$F27.A01DY$F28.A0C00$F10.A0F2S$F10.A0F2Z","wine, rosé",366,"OT","Other foods",2655,"Wine and products","24212.02","wine","24212.02.03","A03MY#F02.A0ENK$F27.A01DY$F28.A0C00$F10.A0F2S$F10.A0F2Z","","",""
273,"Yams","M",128,27.5,2,0.3,4.1,10,23,0.07,1.3,0,17,1,0.2,"A010D#F28.A07HS","yams, raw",90,"RT","Roots and Tubers",2535,"Yams and products","1540","yams","1540.01","A010D#F28.A07HS","","",""
1,"Apples","E",52,11.4,0.2,0.2,2.4,55,6,0,0.1,0,5,0,0,"A01DJ#F28.A07HS","apples, raw",286,"FV","Fruits and Vegetables",2617,"Apples and products","1341","apples","1341.01","A01DJ#F28.A07HS","","",""
2,"Apples","S",63.814531,13,0.2,0.1,2.3,55,2,0.07,0.3,0,3,0,0.09,"A01DJ#F28.A07HS","apples, raw",286,"FV","Fruits and Vegetables",2617,"Apples and products","1341","apples","1341.01","A01DJ#F28.A07HS","","",""
3,"Apples","W",43,10,0.3,0.1,2.3,55,5,0,0,0,3,0,0,"A01DJ#F28.A07HS","apples, raw",286,"FV","Fruits and Vegetables",2617,"Apples and products","1341","apples","1341.01","A01DJ#F28.A07HS","","",""
4,"Aquatic Plants","E",26,6.25,0.54,0.03,0.5,0,54,0.1,1.9,1470,67,0.7,0.6,"A00VE#F28.A07HS","red algae, raw",493,"FV","Fruits and Vegetables",2775,"Aquatic Plants","1594","aquatic plants, fresh","1594.01","A00VE#F28.A07HS","","",""
5,"Aquatic Plants","S",26,6.25,0.54,0.03,0.5,0,54,0.1,1.9,1470,67,0.7,0.6,"A00VE#F28.A07HS","red algae, raw",493,"FV","Fruits and Vegetables",2775,"Aquatic Plants","1594","aquatic plants, fresh","1594.01","A00VE#F28.A07HS","","",""
6,"Aquatic Plants","W",26,6.25,0.54,0.03,0.5,0,54,0.1,1.9,1470,67,0.7,0.6,"A00VE#F28.A07HS","red algae, raw",493,"FV","Fruits and Vegetables",2775,"Aquatic Plants","1594","aquatic plants, fresh","1594.01","A00VE#F28.A07HS","","",""
7,"Bananas","E",89,20.2,1.1,0.3,2.6,0,5,0.1,0.3,2,27,0.5,0.2,"A01LC#F28.A07HS","banana, raw",284,"FV","Fruits and Vegetables",2615,"Bananas and products","1312","bananas","1312.01","A01LC#F28.A07HS","","",""
8,"Bananas","S",91.300191,18.8,1.3,0.3,1.7,0,2,0.05,0.6,2,21,0.5,0.23,"A01LC#F28.A07HS","banana, raw",284,"FV","Fruits and Vegetables",2615,"Bananas and products","1312","bananas","1312.01","A01LC#F28.A07HS","","",""
9,"Bananas","W",100,22.2,1.3,0.3,1.9,20,8,0.06,1,2,34,1,1.1,"A01LC#F28.A07HS","banana, raw",284,"FV","Fruits and Vegetables",2615,"Bananas and products","1312","bananas","1312.01","A01LC#F28.A07HS","","",""
10,"Barley","E",126.434034,23.8,2.7,0.5,3.5,452,11,0.11,9.4,10,22,37.7,3.29,"A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","barley grain, pearled",31,"CE","Cereals",2513,"Barley and products","23140.05","barley, pearled","23140.05.01","A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","","",""
11,"Barley","S",126.434034,23.8,2.7,0.5,3.5,452,11,0.11,1.3,10,22,37.7,0.82,"A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","barley grain, pearled",31,"CE","Cereals",2513,"Barley and products","23140.05","barley, pearled","23140.05.01","A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","","",""
12,"Barley","W",126.434034,23.8,2.7,0.5,3.5,452,11,0.11,9.4,10,22,37.7,3.29,"A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","barley grain, pearled",31,"CE","Cereals",2513,"Barley and products","23140.05","barley, pearled","23140.05.01","A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","","",""
13,"Beans","E",333,60,23.6,0.8,24.9,1586,72,0.6,7.5,3,116,2.5,2.8,"A012T#F28.A07HS","common beans, dried, raw",117,"PB","Pulses and Beans",2546,"Beans and products","1701","beans, dry","1701.02","A012T#F28.A07HS","","",""
14,"Beans","S",346.797323,46.2,16.9,1.3,19.4,1586,85,0.88,5.9,3,164,2.5,2.54,"A012T#F28.A07HS","common beans, dried, raw",117,"PB","Pulses and Beans",2546,"Beans and products","1701","beans, dry","1701.02","A012T#F28.A07HS","","",""
15,"Beans","W",347,46.2,16.9,1.3,19.4,1586,85,0.88,5.9,3,164,2.5,2.54,"A012T#F28.A07HS","common beans, dried, raw",117,"PB","Pulses and Beans",2546,"Beans and products","1701","beans, dry","1701.02","A012T#F28.A07HS","","",""
16,"Beer","E",41,3.5,0.3,0,0.2,0,5,0,0,0,6,0,0,"A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","beer, regular",367,"OT","Other foods",2656,"Beer and products","24310.01","Beer of barley, malted","24310.01.01","A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","","",""
17,"Beer","S",41.108986,3.7,0.3,0,0,0,4,0.01,0,0,9,0,0.01,"A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","beer, regular",367,"OT","Other foods",2656,"Beer and products","24310.01","Beer of barley, malted","24310.01.01","A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","","",""
18,"Beer","W",35,2,0.3,0,0,0,8,0.01,0.1,0,7,0,0,"A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","beer, regular",367,"OT","Other foods",2656,"Beer and products","24310.01","Beer of barley, malted","24310.01.01","A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","","",""
19,"Beverages, Alcoholic","E",275,0,0,0,0,0,0,0.04,0.04,0,0,0,0.04,"A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","gin",374,"OT","Other foods",2658,"Beverages, Alcoholic and products","2413","undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages","","A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","","",""
20,"Beverages, Alcoholic","S",249.521988,0,0,0,0,0,0,0.02,0,0,0,0,0.04,"A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","gin",374,"OT","Other foods",2658,"Beverages, Alcoholic and products","2413","undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages","","A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","","",""
21,"Beverages, Alcoholic","W",249.521988,0,0,0,0,0,0,0.04,0.04,0,0,0,0.04,"A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","gin",374,"OT","Other foods",2658,"Beverages, Alcoholic and products","2413","undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages","","A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","","",""
22,"Beverages, Fermented","E",41,3.5,0.3,0,0.2,0,5,0,0,3,6,9.3,0,"A03MB#F04.A001L","beer, sorghum grain",373,"CE","Cereals",2657,"Beverages, Fermented and products","24310.04","Beer of sorghum, malted","24310.04.01","A03MB#F04.A001L","","",""
23,"Beverages, Fermented","E",41,3.5,0.3,0,0.2,0,5,0,0,3,6,9.3,0,"A03MB#F04.A000T","beer, maize grain",371,"CE","Cereals",2657,"Beverages, Fermented and products","24310.02","Beer of maize, malted","24310.02.01","A03MB#F04.A000T","","",""
24,"Beverages, Fermented","S",28.919694,3,0.6,0,0.1,0,5,0.02,0.2,3,14,9.3,0.14,"A03MB#F04.A001L","beer, sorghum grain",373,"CE","Cereals",2657,"Beverages, Fermented and products","24310.04","Beer of sorghum, malted","24310.04.01","A03MB#F04.A001L","","",""
25,"Beverages, Fermented","W",34,3.1,0.6,0.2,0.1,0,4,0,0,3,14,9.3,0.3,"A03MB#F04.A000T","beer, maize grain",371,"CE","Cereals",2657,"Beverages, Fermented and products","24310.02","Beer of maize, malted","24310.02.01","A03MB#F04.A000T","","",""
26,"Bovine Meat","E",323,0,24.9,24,0,0,4,0.1,1.7,1,23,8,4.1,"A01QX#F28.A07HS","beef, without bones, fresh, raw",380,"AP","Animal Products",2731,"Bovine Meat and products","21111.02","meat of cattle boneless, fresh or chilled","21111.02.01","A01QX#F28.A07HS$F20.A07QM","","",""
27,"Bovine Meat","S",203.632887,0,19.2,14.2,0,0,13,0.32,0.7,1,19,8,3.42,"A01QX#F28.A07HS","beef, without bones, fresh, raw",380,"AP","Animal Products",2731,"Bovine Meat and products","21111.02","meat of cattle boneless, fresh or chilled","21111.02.01","A01QX#F28.A07HS$F20.A07QM","","",""
28,"Bovine Meat","W",244,0,17.9,19.2,0,0,10,0.16,2.4,1,28,8,2.2,"A01QX#F28.A07HS","beef, without bones, fresh, raw",380,"AP","Animal Products",2731,"Bovine Meat and products","21111.02","meat of cattle boneless, fresh or chilled","21111.02.01","A01QX#F28.A07HS$F20.A07QM","","",""
29,"Butter, Ghee","E",876,0,0.3,99.5,0,0,8,0,0.1,0,1,0,0,"A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","ghee",443,"AP","Animal Products",2740,"Butter, Ghee and products","22241.02","ghee from cow milk [only calories]","22241.02.01","A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","","",""
30,"Butter, Ghee","S",882.648183,0,0,99.8,0,0,0,0,0.2,0,0,0,0,"A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","ghee",443,"AP","Animal Products",2740,"Butter, Ghee and products","22241.02","ghee from cow milk [only calories]","22241.02.01","A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","","",""
31,"Butter, Ghee","W",880,0,0,99.9,0,0,0,0,0,0,0,0,0,"A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","ghee",443,"AP","Animal Products",2740,"Butter, Ghee and products","22241.02","ghee from cow milk [only calories]","22241.02.01","A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","","",""
32,"Cassava","E",160,38.1,1.4,0.3,1.8,54,16,0.1,0.3,0.88,21,1,0.3,"A00ZZ#F28.A07HS","cassava root, raw",85,"RT","Roots and Tubers",2532,"Cassava and products","1520.01","cassava, fresh","01520.01.01","A00ZZ#F28.A07HS","","",""
33,"Cassava","S",160,38.1,1.4,0.3,1.8,54,16,0.1,0.3,0.88,21,1,0.3,"A00ZZ#F28.A07HS","cassava root, raw",85,"RT","Roots and Tubers",2532,"Cassava and products","1520.01","cassava, fresh","01520.01.01","A00ZZ#F28.A07HS","","",""
34,"Cassava","W",157,36.5,1.1,0.3,1.8,54,46,0.05,1.7,0.88,21,1,0.2,"A00ZZ#F28.A07HS","cassava root, raw",85,"RT","Roots and Tubers",2532,"Cassava and products","1520.01","cassava, fresh","01520.01.01","A00ZZ#F28.A07HS","","",""
35,"Cephalopods","E",92,3,16,1,0,0,32,1.9,0.68,20,33,44.8,1.53,"A02JH#F28.A07HS","squids, raw",498,"AP","Animal Products",2766,"Cephalopods","1570","cephalopods, fresh","1570.01","A02JH#F28.A07HS","","",""
36,"Cephalopods","S",92,3,16,1,0,0,32,1.9,0.68,20,33,44.8,1.53,"A02JH#F28.A07HS","squids, raw",498,"AP","Animal Products",2766,"Cephalopods","1570","cephalopods, fresh","1570.01","A02JH#F28.A07HS","","",""
37,"Cephalopods","W",92,3,16,1,0,0,32,1.9,0.68,20,33,44.8,1.53,"A02JH#F28.A07HS","squids, raw",498,"AP","Animal Products",2766,"Cephalopods","1570","cephalopods, fresh","1570.01","A02JH#F28.A07HS","","",""
38,"Cereals, Other","E",339,60.4,13.7,1.9,12.2,282,15,0.1,1.2,10,22,2,0.7,"A001Z#F28.A07HS$F10.A06HR","fonio grain, white, unrefined, raw",60,"CE","Cereals",2520,"Cereals, Other and products","1193","fonio","1193.03","A001Z#F28.A07HS$F10.A06HR","","",""
39,"Cereals, Other","S",351.099426,59.9,11.9,1.8,10.7,282,8,0.27,2.4,10,68,2,1.92,"A001Z#F28.A07HS$F10.A06HR","fonio grain, white, unrefined, raw",60,"CE","Cereals",2520,"Cereals, Other and products","1193","fonio","1193.03","A001Z#F28.A07HS$F10.A06HR","","",""
40,"Cereals, Other","W",339,67.1,7,3.1,7.4,282,40,0.44,9.4,10,430,2,1.5,"A001Z#F28.A07HS$F10.A06HR","fonio grain, white, unrefined, raw",60,"CE","Cereals",2520,"Cereals, Other and products","1193","fonio","1193.03","A001Z#F28.A07HS$F10.A06HR","","",""
41,"Citrus, Other","E",47,9.4,0.9,0.1,2.4,0,40,0.1,0.1,1,10,1,0.1,"A0DZB#F28.A07HS","oranges, raw",268,"FV","Fruits and Vegetables",2611,"Oranges, Mandarines and products","1323","oranges","1323.01","A0DZB#F28.A07HS","","",""
42,"Citrus, Other","S",54.493307,9.2,0.8,0.1,3.2,0,30,0.1,0.3,1,8,1,0.22,"A0DZB#F28.A07HS","oranges, raw",268,"FV","Fruits and Vegetables",2611,"Oranges, Mandarines and products","1323","oranges","1323.01","A0DZB#F28.A07HS","","",""
43,"Citrus, Other","W",45,8.9,0.8,0.3,1.7,10,32,0.1,0.1,1,11,1,0.1,"A0DZB#F28.A07HS","oranges, raw",268,"FV","Fruits and Vegetables",2611,"Oranges, Mandarines and products","1323","oranges","1323.01","A0DZB#F28.A07HS","","",""
44,"Cloves","E",323,27.01,5.98,20.07,34.2,0,646,0.3,8.7,0,264,5.9,1.1,"A01AL#F02.A066Z$F01.A05VR$F27.A01AL","cloves",356,"OT","Other foods",2642,"Cloves and products","1656","cloves (whole stems), raw","1656.01","A01AL#F02.A066Z$F01.A05VR$F27.A01AL","","",""
45,"Cloves","S",323,27.01,5.98,20.07,34.2,0,646,0.3,8.7,0,264,5.9,1.1,"A01AL#F02.A066Z$F01.A05VR$F27.A01AL","cloves",356,"OT","Other foods",2642,"Cloves and products","1656","cloves (whole stems), raw","1656.01","A01AL#F02.A066Z$F01.A05VR$F27.A01AL","","",""
46,"Cloves","W",323,27.01,5.98,20.07,34.2,0,646,0.3,8.7,0,264,5.9,1.1,"A01AL#F02.A066Z$F01.A05VR$F27.A01AL","cloves",356,"OT","Other foods",2642,"Cloves and products","1656","cloves (whole stems), raw","1656.01","A01AL#F02.A066Z$F01.A05VR$F27.A01AL","","",""
47,"Cocoa Beans","E",363.049713,11.5,18.5,21.7,12.1,0,130,3.9,10.5,0,520,14.3,6.9,"A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","cocoa powder",346,"OT","Other foods",2633,"Cocoa Beans and products","F0665","cocoa powder and cake [only calories]","F0665.01","A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","","",""
48,"Cocoa Beans","S",363.049713,11.5,18.5,21.7,12.1,0,130,3.9,10.5,0,520,14.3,6.9,"A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","cocoa powder",346,"OT","Other foods",2633,"Cocoa Beans and products","F0665","cocoa powder and cake [only calories]","F0665.01","A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","","",""
49,"Cocoa Beans","W",363.049713,11.5,18.5,21.7,12.1,0,130,3.9,10.5,0,520,14.3,6.9,"A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","cocoa powder",346,"OT","Other foods",2633,"Cocoa Beans and products","F0665","cocoa powder and cake [only calories]","F0665.01","A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","","",""
50,"Coconut Oil","E",862,0,0,100,0,0,0,0,0,0,0,0,0,"A037M#F02.A068M$F27.A014K$F28.A0C02","coconut oil",194,"OT","Other foods",2578,"Coconut Oil and products","2166","coconut oil","2166.01","A037M#F02.A068M$F27.A014K$F28.A0C02","","",""
51,"Coconut Oil","S",884.321223,0,0,100,0,0,2,0,0,0,0,0,0,"A037M#F02.A068M$F27.A014K$F28.A0C03","coconut oil",194,"OT","Other foods",2578,"Coconut Oil and products","2166","coconut oil","2166.01","A037M#F02.A068M$F27.A014K$F28.A0C02","","",""
52,"Coconut Oil","W",900,0,0,100,0,0,0,0,1.5,0,0,0,0,"A037M#F02.A068M$F27.A014K$F28.A0C04","coconut oil",194,"OT","Other foods",2578,"Coconut Oil and products","2166","coconut oil","2166.01","A037M#F02.A068M$F27.A014K$F28.A0C02","","",""
53,"Coconuts - Incl Copra","E",354,6.2,3.3,33.5,9,324,14,0.4,2.4,1,32,10.1,1.1,"A014K#F02.A066R$F01.A05RC$F27.A014K","coconuts",161,"OT","Other foods",2560,"Coconuts (including copra) and products","1460","coconuts, in shell","1460.01","A014K#F02.A066R$F01.A05RC$F27.A014K","","",""
54,"Coconuts - Incl Copra","S",400.812619,2.3,3.4,38.9,8.3,324,11,0.43,0.8,1,47,10.1,0.45,"A014K#F02.A066R$F01.A05RC$F27.A014K","coconuts",161,"OT","Other foods",2560,"Coconuts (including copra) and products","1460","coconuts, in shell","1460.01","A014K#F02.A066R$F01.A05RC$F27.A014K","","",""
55,"Coconuts - Incl Copra","W",377,3.6,4.6,36.3,9,324,14,0.32,2.3,1,39,10.1,0.8,"A014K#F02.A066R$F01.A05RC$F27.A014K","coconuts",161,"OT","Other foods",2560,"Coconuts (including copra) and products","1460","coconuts, in shell","1460.01","A014K#F02.A066R$F01.A05RC$F27.A014K","","",""
56,"Coffee","E",2.151051,0.4,0.1,0,0,0,2,0.01,0.1,0,5,0,0.02,"A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","coffee, instant powder",340,"OT","Other foods",2630,"Coffee and products","23912.02","coffee extracts","23912.02.01","A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","","",""
57,"Coffee","S",2.151051,0.4,0.1,0,0,0,2,0.01,0.1,0,5,0,0.02,"A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","coffee, instant powder",340,"OT","Other foods",2630,"Coffee and products","23912.02","coffee extracts","23912.02.01","A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","","",""
58,"Coffee","W",2.151051,0.4,0.1,0,0,0,2,0.01,0.1,0,5,0,0.02,"A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","coffee, instant powder",340,"OT","Other foods",2630,"Coffee and products","23912.02","coffee extracts","23912.02.01","A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","","",""
59,"Cottonseed Oil","E",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Z#F02.A068M$F27.A015V$F28.A0C02","cotton seed oil",189,"OT","Other foods",2575,"Cottonseed Oil and products","2168","cottonseed oil","2168.01","A036Z#F02.A068M$F27.A015V$F28.A0C02","","",""
60,"Cottonseed Oil","S",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Z#F02.A068M$F27.A015V$F28.A0C03","cotton seed oil",189,"OT","Other foods",2575,"Cottonseed Oil and products","2168","cottonseed oil","2168.01","A036Z#F02.A068M$F27.A015V$F28.A0C02","","",""
61,"Cottonseed Oil","W",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Z#F02.A068M$F27.A015V$F28.A0C04","cotton seed oil",189,"OT","Other foods",2575,"Cottonseed Oil and products","2168","cottonseed oil","2168.01","A036Z#F02.A068M$F27.A015V$F28.A0C02","","",""
62,"Cream","E",245.458891,3.5,2.5,25,0,0,90,0.01,0,35,8,3,0.26,"A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","cream",448,"AP","Animal Products",2743,"Cream and products","22120","cream, fresh [only calories]","22120.01","A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","","",""
63,"Cream","S",245.458891,3.5,2.5,25,0,0,90,0.01,0,35,8,3,0.26,"A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","cream",448,"AP","Animal Products",2743,"Cream and products","22120","cream, fresh [only calories]","22120.01","A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","","",""
64,"Cream","W",245.458891,3.5,2.5,25,0,0,90,0.01,0,35,8,3,0.26,"A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","cream",448,"AP","Animal Products",2743,"Cream and products","22120","cream, fresh [only calories]","22120.01","A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","","",""
65,"Crustaceans","E",97.992351,0,20.2,1.8,0,0,3292,0.65,2.5,100,259,37.4,2.8,"A0FCP#F28.A07HS","crab, fresh, raw",506,"AP","Animal Products",2765,"Crustaceans","1553","crustaceans, fresh","1553.01","A0FCP#F28.A07HS","","",""
66,"Crustaceans","S",97.992351,0,20.2,1.8,0,0,104,0.65,0.9,100,33,37.4,4.22,"A0FCP#F28.A07HS","crab, fresh, raw",506,"AP","Animal Products",2765,"Crustaceans","1553","crustaceans, fresh","1553.01","A0FCP#F28.A07HS","","",""
67,"Crustaceans","W",81,0,18,1.5,0,0,150,0.65,10,100,112,37.4,1.6,"A0FCP#F28.A07HS","crab, fresh, raw",506,"AP","Animal Products",2765,"Crustaceans","1553","crustaceans, fresh","1553.01","A0FCP#F28.A07HS","","",""
68,"Dates","E",145.076481,31.3,1.5,0.1,2.7,0,24,0.12,0.3,0,24,3,0.2,"A01HF#F02.A0ELC$F01.A062D$F27.A01HF","dates",293,"FV","Fruits and Vegetables",2619,"Dates and products","1314","dates","1314.01","A01HF#F02.A0ELC$F01.A062D$F27.A01HF","","",""
69,"Dates","S",145.076481,31.3,1.5,0.1,2.7,0,24,0.12,0.3,0,24,3,0.2,"A01HF#F02.A0ELC$F01.A062D$F27.A01HF","dates",293,"FV","Fruits and Vegetables",2619,"Dates and products","1314","dates","1314.01","A01HF#F02.A0ELC$F01.A062D$F27.A01HF","","",""
70,"Dates","W",134,51,6.4,2.4,2.7,0,24,0.12,0.3,0,24,3,0.2,"A01HF#F02.A0ELC$F01.A062D$F27.A01HF","dates",293,"FV","Fruits and Vegetables",2619,"Dates and products","1314","dates","1314.01","A01HF#F02.A0ELC$F01.A062D$F27.A01HF","","",""
71,"Demersal Fish","E",98,0,18.1,2.4,0,0,7,0,0.3,140,21,36.5,0.3,"A0EYS#F27.A02CA$F28.A07HS","haddock, smoked, raw",516,"AP","Animal Products",2762,"Demersal Fish","1518","demersal fish, cured","1518.01","A0EYS#F27.A02CA$F28.A07HS","Gutted and headed fish or fillets, unsalted or salted, dried (sun/air dried or machine dried) with different
levels of residual moisture; brined or pickled using salt, vinegar, sugar and spices, smoked (dry or hot
processing). The inedible part of the whole fish is 20–50%. For skin-on fillets the inedible part is 0–5%.
This group also includes by-products as fish heads, tails, maws, tongues, fins, etc. used mostly for soups","Definitions of FAOSTAT fish food commodities (appendix 2)",""
72,"Demersal Fish","S",111.137667,0,25.2,1,0,0,49,0.04,1.4,140,54,36.5,0.5,"A0EYS#F27.A02CA$F28.A07HS","haddock, smoked, raw",516,"AP","Animal Products",2762,"Demersal Fish","1518","demersal fish, cured","1518.01","A0EYS#F27.A02CA$F28.A07HS","Gutted and headed fish or fillets, unsalted or salted, dried (sun/air dried or machine dried) with different
levels of residual moisture; brined or pickled using salt, vinegar, sugar and spices, smoked (dry or hot
processing). The inedible part of the whole fish is 20–50%. For skin-on fillets the inedible part is 0–5%.
This group also includes by-products as fish heads, tails, maws, tongues, fins, etc. used mostly for soups","Definitions of FAOSTAT fish food commodities (appendix 2)",""
73,"Demersal Fish","W",87,0,19.4,1.1,0,0,33,0.05,1.3,140,35,39,1.3,"A0FAS#F28.A07HS$F10.A0F2R","groupers, white, fresh, raw",512,"AP","Animal Products",2762,"Demersal Fish","1514","demersal fish, fresh","1514.01","A0FAS#F28.A07HS$F10.A0F2R","Demersal Fish, Fresh: Alaska pollack, angler (=monk), Australian salmon, bogue, Bombay duck, bonefish,
breams, chimaera, chub, cod, conger, conger/sand eel, croaker, dentex, dogfish, dorie,
drums, emperor, filefish, flatfishes, flounder, fusilier, gobies, grenadier (=hoki), grouper,
grunt, guitarfish, gurnard, haddock, hake, halibut, icefish, ladyfish, lanternfish, ling,
lizardfish, lumbfish, mojarra, moonfish (except Atlantic, African), mullet, orange perch,
orange roughy, Pacific perch, pandora, Patagonian toothfish, picarel, plaice, puffer, ray,
redfish, rockfish, saithe (=Pollock), sandeel, scabbardfish, sea bass, sea bream, sea catfish,
sea perch, shark, skate, smooth-hounds, snapper, soles, spinefeet, steenbras, surgeon,
tarpon, tilefish, threadfin, triggerfish, turbot, tusk (=cusk), warehou, weakfish, weever,
whitefish, whiting, wolfish (=catfish), wrasse, etc","Definitions of FAOSTAT fish food commodities (appendix 2)",""
